Sentence,Sentiment
stock rose second day wednesday bringing two day rise gbx,positive
googl short upper bb overbought,negative
operating profit totaled eur mn eur mn,positive
elektrobit eb renewed infrastructure contract ict service provider fujitsu service eb patja service,positive
pricing detail disclosed,neutral
pkt momentum building breakout trigger long setup http stks co exvu,positive
british american tobacco first half sale hurt currency move,negative
pleased bjorn wahlroos accepted nomination,positive
launch plant june went well producing advanced fuel couple week,positive
group operating loss eur mn profit eur mn,negative
according original merger plan scanfil would get stake combined business,neutral
nflx low,positive
employee leaf company within duration cover money invested ensure commitment returned company,neutral
store located poznan shopping center named pestka company added,neutral
tsla see downside next two week careful dollar drop potential v moved,negative
ragutis controlled finnish brewery reported per cent rise beer sale million litre held per cent market share,positive
pretax profit decreased eur mn eur mn,negative
subscription sale decreased slightly,negative
relation city damaged comment mr ashley criticising city investor analyst cry baby,neutral
cash flow operation recent quarter also reached eight year low,negative
total investment necessary eurm company estimated,neutral
gmcr way acting may fall today horrible action since hit yesterday,negative
aapl rejected hod head lower sitting sideline,negative
stockholm based nordea bank sto nda said yesterday hired casper von koskull lead corporate merchant banking capital market unit effective september,neutral
air traffic finland stoppage since,negative
osur since buy signal resistance expect pullback nd half day break abov continue rally day,positive
metso global supplier sustainable technology service mining construction power generation automation recycling pulp paper industry,neutral
according report elisa dna joint market share finland telecom market,neutral
sale unit slumped last year industry hit poor snowfall major resort winter,negative
hearst able consolidate russian market advertising press purchase,positive
kiosk cinema operation suffered particular,negative
total mn passenger ship journey took place northern baltic sea slightly mn,negative
revenue slightly xac million million compared xac million year earlier,negative
alexandria va oct united state patent issued sept assigned vacon oyj vaasa finland,neutral
beginning subscription period may share subscription price b option right eur per share,neutral
hobby hall sale decrease pct due implementing new information system involved changing principal posting sale,neutral
ground barleycorn fully produced finland available store beginning,neutral
addition stake megafon telecominvest currently owns share web plus st petersburg payphones telecom equipment producer peter servis number minor asset,neutral
finnish medium group talentum issued profit warning,neutral
incap contract manufacturing carry manufacturing agreement factory tumkur near bangalore,neutral
vianor sell tire car truck well range car part provides maintenance service,neutral
update eu regulator back approval gsk injectable asthma drug,positive
performance second half exceeded expectation,positive
kone said court paper union action delayed repair elevator federal courthouse jan saltonstall state office building jan,neutral
operating profit totalled eur mn eur mn first quarter,negative
result tax decreased nearly eur mn compared nearly eur mn previous accounting period,negative
operating profit fell eur mn eur mn second quarter,negative
financing arrangement enable company ensure line treasury policy sufficient financial instrument disposal potential capital requirement,positive
atvi ooks pretty bullish short term perspective got good chance maybe sliding back stock investing,positive
past year factory produced many nokia popular model including nokia nokia well nokia latest music device nokia express music,neutral
group volunteer made digicel employee manage distribution next week distribute tent organization digicel haiti ceo maarten boute said,neutral
result also burdened increased fixed cost associated operation china restructuring cost japan,negative
topped consensus forecast earnings euro share,positive
diageo share surge report possible takeover lemann,positive
shell buy bg group billion takeover,positive
latvia stockmann shopping mall subsidiary finland stockmann plc,neutral
according company updated strategy year basware target long term net sale growth range operating profit margin net sale,positive
ferry run trouble outside stockholm archipelago made island,negative
insurer axa par c slid eur citigroup ing slashed target stock,negative
optimization steel component heating process reduce energy consumption,positive
finnish bank àland report operating profit fell eur mn third quarter eur mn third quarter,negative
operating loss totaled eur mn compared profit eur mn,negative
july september konecranes sale decreased eur mn eur mn july september,neutral
nordic bank already write sizable loan latvia swedbank nordea dnb seb reporting combined loss excess billion period backdrop near economic meltdown latvia,negative
shell challenge exxon dominance billion pound bid bg,negative
net sale decreased eur million eur million,negative
addition mids always online enable full internet browsing,neutral
sale finland decreased january sale outside finland dropped,neutral
according latvian business register uponor latvia closed red lvl eur usd turnover lvl mn,negative
vrtx vertex monthly lower hi lower lo long term uptrend intract far,positive
net sale lehdentekijat unit approximately eur million employee,neutral
company admits month relatively short time operating russia,neutral
clothing chain sepp ñl ñ net sale increased eur mn,positive
je look like bouncing would nice finish today make hammer nice volume bottom finger crossed,positive
aldata solution oyj thomas hoyer cfo information aldata solution oyj thomas hoyer cfo tel aldata brief aldata solution one global leader supply chain software retail wholesale logistics company,neutral
period sale dropped eur eur according interim report released today,neutral
timo penttila appointed new manager responsible asset management nordea institutional customer finland,neutral
new organization consists two business unit charging messaging finance administration,neutral
remainder revenue come technology agreement firm interdigital said,neutral
market expect heineken sell hartwall whole part,neutral
apple break major support level watch http stks co jrmw aapl qqq,negative
aviva fined million u k regulator fee failing,negative
contract demonstrates ability apply mineral metal technology adjacent industry oil shale processing,positive
important export market norway germany russia france,neutral
pretax profit totalled eur mn compared loss eur mn corresponding period,positive
buffett company report percent drop q earnings,negative
athn seems like good short setup stop day position,negative
price log clearly improved also price pulpwood gone,positive
update sabmiller reject ab inbev bln takeover approach,positive
thanks wide contact network good knowledge market business environment give great contribution development indian operation tell incap president ceo juhani hanninen,positive
tietoenator pct extending recent low last week second quarter report dealer said,negative
key level watch fb today watching see hold support http stks co boh,neutral
louiebeene vwap held trend line lot radar navb,positive
ixonos estimate hire specialist mechanical engineering electronics design r new unit jyvaeskylae end,positive
operating loss totalled eur mn compared profit eur mn first half,negative
dcth near hod,positive
ftse fall month low greek debt concern easyjet skid,negative
petrofac share price rise despite â£m cost north sea project,neutral
operating profit declined mainly due increased cost wood recycled fiber strengthened euro,negative
net sale increased eur eur pretax profit rose eur eur usd,positive
nflx vision short term consolidation movement higher http stks co juu,positive
january september fiskars net profit went year year eur million net sale eur million eur million,positive
berkshire discloses unit tie iran open probe,negative
yoku high volume blast friday go higher http stks co qsal,positive
vessel order help aspo secure long term competitiveness fleet term technology pricing,positive
share repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,neutral
one opportunity would bring baltic meat processing rakvere like processing concentrated vantaa meat packing unit finland paper wrote,neutral
gtat enter short bounce,negative
fiscal year ending september revenue customer million around transportation group revenue,neutral
total value delivery eurm,neutral
steve jackson ebusiness analyst satama former ceo aboavista said google broke mold gave away google analytics free,neutral
ntc geographical presence complement ramirent existing network brings u closer customer east bohemia region czechrepublic,positive
company profit tax fell eur mn third quarter compared eur mn corresponding period,negative
barclays poaches new chief operating officer paul compton jp morgan chase,neutral
xlb weakest sector year possible false breakout http stks co dlz,negative
foundry division report sale increased eur mn eur mn corresponding period sale machine shop division increased eur mn eur mn corresponding period,positive
small investor voiced fear share end risk investor,negative
company expects net sale increase,positive
net sale eaten weak u dollar,neutral
kgc http stks co qta oversold falling wedge positive divergence place launch pad looking bounce,positive
hk jan sinking ship,negative
fda panel back safety update astrazeneca takeda drug,positive
company said comparable operating profit january june period fell short last year corresponding performance,neutral
happy outcome sneed said hearing,positive
sold tsla put morning closed close help pay monthly expense,neutral
release oct peab said two business continue conducted brand cliffton stockholm entreprenad part peab group,neutral
coca cola market leader manufacturer market share corresponding period,negative
operating profit non recurring item eur mn first nine month compared eur corresponding period,negative
wmt bullish macd crossover rsi sto going re could run http stks co ggcq,positive
turbine expected launched end,neutral
glencore cut budget plan divest lonmin,negative
city user search home property area city active even outside country,neutral
standardised service met positive reception among customer well itella,positive
change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,neutral
make wide range mobile device service software enable people experience music navigation video television imaging game business mobility,neutral
profit tax eur mn compared eur mn previous year,positive
vaisala net profit third quarter dropped mln euro mln mln euro mln period,negative
according mark white locatrix communication ceo company web service interface allows device owner friend family track locate twig user via web browser,neutral
prlb hanging tough market due analyst upgrade last week almost,positive
laavainen said benecol well known europe u market year,neutral
order valued eurm,neutral
fastenal miss miss revenue fast nyse http co jhqpwmn,negative
adp news nov finnish ac drive manufacturer vacon oyj omx vacv said today set new representative office romania ukraine serve growing market eastern southeastern europe,positive
nokia pct eur kicking morning negative territory,positive
result people made redundant total person laid temporarily,negative
among scandinavian company present st petersburg also named swedish concern ncc implement project field asphalt production road housing construction project swedish krona,neutral
kingfisher takeover mr bricolage could hit brick wall,negative
companiesmeggitt profit hit weak energy military market,negative
added bbby jimcramer wrong one still profitable merchant profitable store,positive
eu regulator back approval gsk injectable asthma drug,positive
newly created position established strengthen amer sport management strategic planning execution,positive
revenue quarter fell percent euro billion compared year earlier,negative
rbi surprise street sensex pares gain hitting mount k,negative
however proportion paid standing order grew,positive
ramirent made million kroon eur mln loss last year year company million kroon black,negative
aapl aapl finally breaking buyback week look aapl test support area,negative
bridge part highway development project,neutral
metso estimate need personnel reduction amount people,negative
share royal sun alliance continued slide back month high p last month potential suitor ruled takeover bid,negative
long position ip scaling http stks co siln,positive
part transaction ä ñnekoski paper mill remained real ownership continued galerie art production sappi long term contract,neutral
however net sale declined eur million eur billion,neutral
number bodily injury case quadrupled,neutral
customer left powerless,negative
amrn accumulating think buy hold peace go today tomorrow,positive
equipment made vaahto plant hollola finland delivery scheduled first quarter,neutral
ge building facility wind power developer invenergy wind llc,neutral
change readership not significant,neutral
pm omx helsinki index pct lower,negative
fedday looking sharp move equity aapl hd low fb seeing uvxy tvix getting hammered even though market,positive
earnings per share eps amounted eur loss eur,positive
also upset machinery work taken poland,negative
line run fully underground comprise station executed two implementation stage,neutral
pretax loss totaled eur mn profit eur mn,negative
financial statement interim report released around finnish time given date,neutral
royal mail turnaround proving expensive tough uk market,neutral
altogether finnair canceled flight strike,negative
scanfil system supplier contract manufacturer communication sector start personnel negotiation oulu finland lay staff temporarily,negative
finnish exel composite technology company design manufacture market composite profile tube various industrial application report net sale decreased second quarter eur mn eur mn corresponding period,negative
adp news oct finnish consulting engineering company poyry oyj omx poyv said today awarded eur million usd extension existing consultancy engineering contract venezuel,positive
upm talking myllykoski ó creditor bank nordea sto nda nordic investment bank danske bank ó cph danske sampo bank deal paper said,neutral
rival say qualcomm fewer patent g phone earlier version lower rate,neutral
pharmaceutical belgium brand new market analysis give clear overview actual situation future outlook pharmaceutical market belgium,neutral
number bodily injury case quadrupled,negative
gnrc finding support day line far,positive
manavigator september kemira unveils indian jv ivrcl finnish chemical group kemira hel krav tuesday announced inked deal form joint venture india local construction firm ivrcl infrastructure project ltd bom,positive
tesco share price grocer face sfo investigation outcome,negative
finnish solution provider affecto oyj hel afev said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,negative
recent interview financial time ft sampo board chairman bjorn wahlroos said p c certainly sale price set sek billion confirming earlier statement,neutral
according ringman finnish paper company acquired know capacity paper recycling turned successful strategy,positive
entertainment one dispels itv takeover rumour,positive
last quarter best quarter net sale operating margin rose,positive
scanfil system supplier contract manufacturer communication sector give notice productional employee temporarily lay employee company plant sievi finland,negative
natural source isoprene tree specie hevea brasiliensis also known rubber tree,neutral
according finnish petrol station chain st managing director kim wiio company forced make purchase rising price first half consumer price going almost daily due competition,neutral
glaxosmithkline share price slip fda okay asthma therapy adult,negative
smh got sell signal need take go higher otherwise headed lower gap,negative
tightened competition situation production automation market affected net sale cencorp said,negative
poorest index figure given finnish power company fortum,negative
fb trend hit mid drop,negative
airvana umts home base station femto cell us software based functionality shelf silicon accelerate feature development reduce product cost,positive
abb deutsche bank upgraded recommendation swiss swedish engineering group abb ltd buy hold,positive
deal cover stockmann auto oy ab sale sale service concerning volkswagen audi helsinki espoo vantaa,neutral
lifetree founded revenue risen average margin late,positive
market share decreased route helsinki finland tallinn estonia percentage point,negative
aapl glad got stopped weekly enter next monday earnings run,neutral
konecranes previously communicated estimated reduction employee group level,negative
work include laying natural stone pavement installation underground heating surface water drainage system,neutral
adjustment fall price level contrast le effective,negative
several growth initiative chosen geographic area already ongoing continued noting lindex opened first store czech republic autumn brno,positive
nuan held well big gain maybe finally move still undervalued major upside,positive
fair value change investment property eur mn compared eur mn third quarter,negative
sap q disappoints software license real problem cloud growth trail msft orcl goog crm adbe http co jndphllzq,negative
finland insurance company pohjola finnish motorcyclist association signed agreement aim improving motorcyclist traffic safety,positive
q company operating loss totalled eur mn compared profit eur mn q,neutral
buy associated british food plc great portland estate plc dunelm group plc following today news,positive
rnn bleeding monday,negative
official opening office located prague celebrated may,neutral
however company saw net profit third quarter eur eur corresponding period,negative
fourth quarter net sale decreased eur mn eur mn fourth quarter,negative
cash flow operation totalled eur mn compared negative eur mn second quarter,positive
gild support ibb bib http co gioofzbkv,positive
worth investing tesco plc prudential plc,positive
eps dropped eur eur,negative
proportion estonian lithuanian passenger tallinn helsinki route also grew july,positive
finnish messaging solution developer tecnomen corporation omx helsinki temv said thursday december received expansion order convergent charging solution latin america,positive
twtr sad thing move takeover rumor sold next day,negative
yit baltic sale first three quarter totaled million euro representing drop percent year year,negative
includes eur mn change fair value investment property,neutral
operating profit totalled eur mn eur mn year earlier,negative
refining margin year bbl compared bbl prior year,positive
value order eur,neutral
cramo group financial target sale growth higher percent per year return equity percent,positive
wpp boost sale despite cautious client,positive
another noticeable thing search tata airtel brand mostly related broadband connection,neutral
last year net sale rose eur million eur million,positive
sheryl sandberg sell share facebook inc fb stock http co vxtamnpk via ratingsnetwork,negative
ragutis based lithuania second largest city kaunas boosted sale last year per cent million liter,positive
rl nordic part raiffeisen banking group austria subsidiary raiffeisen leasing gmbh austria,neutral
bank also examining benefit transferring swedish business operate branch office operation would governed finland law,neutral
july september konecranes sale decreased eur mn eur mn july september,negative
bbry sierra great cash balance impressive growth rate would wonderful marriage,positive
tsla steaming stock relentless moment,positive
july september yit net sale increased eur mn compared eur mn corresponding period,positive
diluted earnings per share eps fell eur eur,negative
profit period fell eur mn eur mn january september,neutral
tesla motor recall model x suv http co bfwsdbmu tsla,negative
helsinki afx outokumpu said technology unit mln eur contract bosnia herzegovina aluminij dd mostar upgrade anode plant,positive
pretax loss totalled eur mn compared loss eur mn corresponding period,negative
pretax loss totalled eur mn compared profit eur mn,negative
net cash operating activity negative eur mn compared eur mn,negative
thank goog google alphabet fb facebook stock nice reversal,positive
report profile company including many key niche player worldwide black decker corporation fiskars corporation fiskars brand inc husqvarna outdoor product inc k group ryobi technology inc scott miracle gro company van group inc,neutral
glaston net profit third quarter dropped mln euro mln mln euro mln corresponding period,negative
result company decided implement fixed term temporary lay offs,negative
operating profit fell eur mn eur mn third quarter,neutral
companiesdiageo stay neutral india boardroom turmoil,neutral
short atvi,negative
finnish bank àland àlandsbanken issued profit warning,neutral
ssh communication security corporation headquartered helsinki finland,neutral
capital structure solidium may complemented financial instrument future,neutral
baird like tsla upgrade outperform lift price target research firm also see capital raise necessary next qtrs,positive
nordea bank estonia part largest financial group nordic country,neutral
x mark recall tesla recall modelx faulty rd row seat http co hsqdovry tsla http co cscnzebb,negative
neste oil board proposed eur dividend full year compared eur year ago,positive
operating margin aker yard cruise ferry division went first quarter,negative
sale clothing developed best,positive
f secure internet security security service surfing web online banking shopping e mail online activity,neutral
finnish cargotec kalmar received significant order u department defense,positive
tata steel working stanchart uk unit sale source,positive
finnish technology company raute corporation omx helsinki rutav issued tuesday september profit warning financial year,negative
member partner use mostly apparent increased efficiency result service observes perttu puro tradeka,positive
sanoma also executive committee accordance company article association prepares proposal matter decided noted board director,neutral
cdti bounce support h setup area important bull not lose http stks co cmf,positive
group ebit first half eur u falling short eur posted period,negative
finnish vaahto group provides paper making technology process machinery starting negotiation concerning temporary lay offs employee company plant hollola tampere finland,negative
strand associate expanding madison corporate headquarters space add employee engineering firm,positive
free ha heeeeeere come pump glad picked k end day get ready bull ride,positive
homebuilder ryl breaking support watch one spy,negative
ruukki included djsi world second year running european djsi stoxx third year running,neutral
nflx easy pop end feb steady go second earnings report year end matter,positive
finnish kemira net sale eur decreased eur mn january june eur mn january june,negative
european stock hover near week low dialog bhp slump,negative
tsla weakest today dt watchlist,negative
via satlan acquisition teleste plan expand market presence video service partner cable operator broadcaster iptv service provider,positive
tallink silja attribute significant drop problem booking system taken operation october sale trailer ferry sky wind route stockholm riga passenger helsinki stockholm route,neutral
pipeline strong,positive
antti orkola president kemira growhow industrial solution unit told thomson financial news company put opening mine price phosphate quite depressed long time,negative
company employee annual turnover eur vaahto group listed nordic exchange helsinki,neutral
combine renew content functionality current system funding online service well maintenance,positive
thus sysopen digia accordance chapter section finnish company act obtained title share sentera redeemed,neutral
joint venture planning quick timetable negotiating lease potential wind farm area charting feasibility wind farm,neutral
product coverage baked good biscuit breakfast cereal data coverage market size historic forecast company share brand share distribution data,neutral
total scholarship amount euro recipient chosen recommendation fine art university sport association,neutral
small firm suffering moment likely money trouble added,neutral
aim ceo q session give clarity information made public already earlier,neutral
company operates worldwide employ total approximately person,neutral
ramirent net sale second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,positive
motorola inc united state came second shipment million unit percent market share followed south korea samsung electronics co shipment million unit percent share,neutral
airbus firm order nonbinding commitment,positive
kesko pursues strategy healthy focused growth concentrating sale service consumer customer,positive
lulu http stks co oi bounced support early week indicator turning rsi macd smi worth look,positive
amzn breaking,positive
company well positioned brazil uruguay,positive
tesla motor recall model x suv tsla http co xdgraexkkz,negative
profit period totalled eur mn eur mn third quarter,negative
mt theacsman amazing seeing everyone suddenly touting msft long favorite covered call double dip dividend play,positive
upm kymmene one world leading printing paper producer production country sale network covering company,positive
expansion aim attract new customer finland abroad,positive
gild chart ibb back support http co gprzujfc,positive
china finnish kone provides elevator escalator solution modernisation maintenance build escalator installed high speed railway section beijing shanghai year time,positive
loss third quarter eur mn smaller loss second quarter,positive
aapl iphone shipment track exceed forecast marketwatch http co cxahjixd,positive
seat would go edgar edmonds american experience clothing retail industry christian fischer austrian experience winter sport good business,neutral
q bank àland net interest income weakened eur mn,negative
glaston share glav listed nasdaq omx helsinki mid cap list,neutral
generated operating loss eur mn profit eur mn,negative
qihu totally missed one jump break test congrats short,negative
report contains category level company brand share well distribution share information,neutral
tesla issue first model x recall http co tkmqvwhqq tsla,negative
value multi year agreement eur mn year,neutral
doubt grow glaxosmithkline bln capital return plan,negative
aapl action close indicates aapl probably hit near term high momentum slowing huge run,positive
isrg isrg short http stks co fvvu http stks co cqrm,negative
sale healthcare trade business support oriola kd strategy focus pharmaceutical wholesale retail business,positive
elisa commissioned finland poyry telecom oy conduct study reception estonia largest city besides tallinn,neutral
january june diluted loss per share stood eur versus eur first half,negative
operating profit turnover nine month period increased respectively eur eur compared corresponding period year ago,positive
headquartered city company nearly year old focus science based innovation technology environmental measurement,neutral
shell share price standard life announce position bg acquisition,negative
finland based company l ñnnen tehtaat raisio decided dissolve joint venture company zao scandic feed established start local animal feed business feed production northwest russia,neutral
industry newsmorrisons unveils store close job face axe,negative
would increase estimated sale million last year,positive
aspocomp large factory china factory building project india halted due financing problem,negative
aapl beaten hated etc hhhmm opposite happens next,negative
also traditional grapevine carry lot weight,neutral
chief financial officer jim heindlmeyer said beyond oblivion advanced talk four major recording company service,neutral
finnish medium group talentum issued profit warning,negative
finnish aldata solution signed contract supply g l system two french retail chain,positive
upon completion transaction metso stake amount,neutral
video marimekko design manager noora niiininoski explains brand natural fit timeless style,neutral
transaction would increase earnings per share first quarter eur,positive
sbux heading dma certain doom not hold,negative
financial detail n disclosed,neutral
fine print,neutral
ftse fall china devaluation hit burberry mining stock,negative
baltic country development operation reorganisation continued non recurring item related takeover process lowered earnings,neutral
finnish company previously said operating result lower break even posted year earlier,negative
scopi chief business excellence officer eng,neutral
net sale fell previous accounting period,negative
brokerage said seen true turning point european steel base price better pricing seen carrying second quarter,positive
lithuanian beer maker sold million liter beer rise per cent year earlier figure million liter,positive
one largest project magazine division sanomawsoy sanoma magazine international became launch russian magazine gloriya,neutral
aviva weighs cash handout beating profit forecast,positive
transaction double tecnomens workforse add fourth net sale,positive
tesla voluntary recall model x vehicle due back seat issue tsla http co npakcugs,negative
adp news jan finnish mobile phone maker nokia oyj omx nokv said today operating profit decreased eur billion usd bn eur billion,negative
raisio bid buy glisten win win deal company chairman uk snack firm told food today february,positive
analyst view astrazeneca share seen recent volatility,negative
company propose dividend eur per share,neutral
spy extreme win today cent low year spy percent life bowl cherry great short setting,negative
ministry water tanzania awarded poyry water sanitation engineering assignment rehabilitation extension water supply sanitation infrastructure bukoba musoma situated lake victoria northern tanzania,positive
brazilian mobile player telemig celular yesterday announced selected finnish software developer tecnomen oyj expand prepaid billing system,positive
added long friday close spy labu blue amzn,positive
total capital fund managed bank decreased eur mn end september,neutral
salcomp oyj finnish maker mobile phone charger monday posted eur million loss second quarter compared million profit period previous year,negative
deutsche bank downgraded starbucks co sbux http co qqlevvwpmv http co fpdqjutha,negative
adpnews feb finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger expected pretax loss eur million usd fourth quarter,negative
copper market may get style supply shock glencore closure,negative
spy mitk fast pc dive http stks co ffn,negative
intent article focus attention fact development model china followed different model india followed,neutral
sbux downgraded neutral deutsche bank price target reduced,negative
reported net sale approximately eur mn,neutral
marimekko today november signed license agreement swedish chain whereby marimekko license popular pattern h,positive
rimi supermarket key customer magistral center,neutral
due rapid decrease net sale personnel reduction carried wider scale initially expected,neutral
affecto expects net sale whole increase level reached eur million,positive
bank see potential getinge share rise,positive
capacity cut passenger load factor percentage point,neutral
finnish lifting equipment maker konecranes oyj said july net profit rose mln euro mln first half mln euro mln period,positive
kcg bot,positive
goodwill intangible asset account mln euro mln purchase price pct payable aspo share,neutral
l operative finland sweden latvia russia norway,neutral
company reportedly searching replacement ceo olli pekka kallasvuo,neutral
loss financial item totalled eur mn compared profit eur mn corresponding period,negative
upm kymmene said not indicated interest domestic consolidation,neutral
finnish daily kauppalehti surmise finnish supplier rautaruukki raised price aker comfort zone,negative
dish weakness continues area resistance last week,negative
plug closed short position small gain not interested option expiring worthless,positive
company listed nordic exchange helsinki,neutral
vegastrader look like good entry qihu,positive
airline ordered nine airbus aircraft delivery becomes lead airline latest variant roll royce trent series engine called,positive
however order received period review fell quarter quarter eur million recorded second quarter,negative
airline estimated cancellation flight due closure european airspace process recommencing traffic caused company loss eurm including cost stranded passenger accommodation,negative
contract includes option deliver additional ascs next phase project,neutral
therefore company result remain weaker,negative
astrazeneca profit sale stalwart fade,negative
wartsila contract october plant installed manturovo kostroma region russia km northeast moscow russia,positive
operating profit rose eur mn eur mn corresponding period,positive
sbux pm db downgrade pt cut,negative
eu drop shell bp statoil ethanol benchmark investigation,positive
measure expected produce annual cost saving eur million starting,positive
shop located capital region paijat hame region,neutral
feed company suomen rehu raisio import gmo feed,neutral
diluted loss per share stood eur versus eur,positive
uk ftse worst day far bg prudential fall,negative
spy vxx aapl party loaded uvxy volatility back,negative
operating profit operation finland period review totaled eur mn remaining level,neutral
strongest growth seen new market russia czech republic slovakia,positive
reuters green mountain revenue miss share plunge http stks co mw gmcr print market foul mood bad day disappoint,negative
barclays sell benchmark index unit bloomberg,positive
insurance policy simple,neutral
talentum net sale september smaller expected,negative
company employee annual sale approximately eurm,neutral
jp morgan expects scala lower nobel biocare growth forecast current guidance pct well operating margin target current pct,negative
sysopen digia plc press release february ibm finland rewarded distinguished partner company,positive
lloyd cut job part three year restructuring strategy,negative
company recorded revenue e million fiscal year ended december increase,positive
cargotec also move hallberg ivarsson service installation business roof service center kalmar macgregor solution gothenburg,neutral
vivus vvus bear raid effect stock,negative
negotiation representative personnel regarding restructuring process ended,neutral
founded fiskars year product quality excellence finland oldest company,neutral
hand finnish sawmill production decreased even,negative
adp news may bank america bofa downgraded today rating swedish finnish paper maker stora enso oyj hel sterv finnish sector player upm kymmene oyj hel upmv underperf,negative
megawatt wind farm planned raahe would built offshore front ruukki raahe work,neutral
profit tax decreased eur mn eur mn year,negative
following divestment fiskars outdoor unit comprise brand gerber silva buster focus multi tool knife compass mobile lighting pedometer aluminium boat,neutral
ab inbev attack sabmiller bid rebuffal,negative
rus catch falling knife think entry coming soon,positive
soullor regular scrappy q swy usually present sale weak margin debt still way,negative
kaupthing bank publish annual result market open thursday january,neutral
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale totalled eur mn first half eur mn first half,negative
operating profit decreased nearly eur mn however,neutral
august latvijas finieris ordered production line new green veneer mill built ukmerge central lithuania,neutral
srv also build aqua park wellness area restaurant multifunctional ice arena,neutral
tsla recall model x car stock dropping hard,negative
companiestesco bad start xmas â€ “ kantar,negative
board said company omitted tender substantial part work rightfully found non responsive evaluation team,neutral
sainsbury sale slip price pressure take toll,negative
boeing company nyse ba bearish trader bet k stock sell july expiry ba http stks co tcse,negative
juha haapakoski continue editor chief budget responsibility also new publisher,neutral
eps continuing operation came eur,positive
price raw material aluminium went end company considers outlook favourable,positive
ugaz cold put dent massive horizontal rig production know http stks co pvp,negative
podcast see harple provide low gypsii platform take someone location demographic information produce contextual index world around,neutral
first nine month company net loss narrowed eur eur corresponding period,positive
looking forward contribute srv success competence say taneli hassinen,positive
profit period eur mn eur mn,neutral
kesko offer hilton open hotel kalinisky prospect square metre building difficulty,neutral
net sale decreased eur mn eur mn corresponding period,neutral
pharmaceutical poland brand new market analysis give clear overview actual situation future outlook pharmaceutical market poland,neutral
fb trending nicely intraday,positive
according kesko company agreed city administration lease building resettlement construction five star hotel hilton room,positive
elcoteq group recently announced last three month previous year brought major loss half billion kroon eur mln fifth quarter running,negative
finnish glass technology company glaston oyj abp net profit decreased mln euro mln first nine month mln euro mln period,neutral
company process building new fleet placed order p max tanker dwt,positive
hargreaves lansdown buck weak market see asset rise percent,positive
last year firm also acquired realprojekti oy real estate development company advise capman property activity,neutral
l also acquired pct stake local sector company salvor oy beginning september,neutral
low energy consumption flexible loading advantage chf pro,neutral
finnair said cancellation flight would cause daily loss xac million u million,negative
currently trainer house revenue attributed finnish market,neutral
jacob supporting storengy investment developing storage site since owner engineer,neutral
tsla love type article s interest rose day hit low http stks co cqkr,negative
open next year largest facility world produce diesel fuel renewable feedstock palm oil animal fat,positive
fourth quarter atrium net loss shrank eur million eur million net sale contracted eur million eur million,positive
operating profit fell eur mn eur mn,negative
vaisala present weather detector measure visibility km well precipitation type intensity,neutral
aapl short term fund redemption liquidation channel cleared soon solid footing new floor come july,negative
company not disclose sum applied,neutral
january august import sea container lorry trailer unit fell export corresponding period,negative
alma medium operating profit amounted eur mn eur mn year earlier,negative
operating profit totalled eur mn eur mn year,negative
update barclays chairman mcfarlane ax ceo speed strategic change,negative
facebook fb received buy rating well fargo star analyst peter stabler well fargo http co jnbcvdcu,positive
yhoo break min,positive
price specified completion date,neutral
comparable operating profit decreased eur mn eur mn corresponding period,negative
nflx small po short wkly put,negative
maximum grade veneer yield calculated based dimension grade veneer product well iterating place peeling ax simulating peeling process,neutral
johnson matthey rev clean air drive,positive
efficiency program totalling million euro way finnair,positive
compensation news opinion distribution,neutral
basware ceo ilkka sihvo comment conjunction interim report whole basware succeeded well second quarter,positive
glad long co operation sodra continues comment stig goran sandberg affecto area manager baltic operation,positive
airline share price closed slightly xac u helsinki,negative
merkel government said support deutsche boerse lse merger,positive
comparable operating profit quarter decreased eurm sale increased eurm compared third quarter,negative
operating margin aker yard cruise ferry division went first quarter,neutral
financialwire tm fully independent proprietary news wire service,neutral
astrazeneca share price acerta deal pay orphan drug status,positive
hlf short made killing last couple day might make cover buy back,negative
low capacity utilisation rate steel production considerably increase fixed cost per unit steel produced,negative
piper upgrade symantec improving renewal rate enterprise growth symc,positive
march leakage gypsum pond detected today talvivaara mine,negative
service also enables user watch e mail html format en enhanced addition language choose,neutral
aspocomp said spin chinese indian unit equipment salo plant finland newly formed unit sell hong kong listed meadville,neutral
camt look like might break,negative
customer left powerless,neutral
tesco sell blinkbox broadband service talktalk,positive
zsl looking weak could good short setup,negative
spy tomorrow party time bear goog msft,negative
currency effect pct mln euro mln negative impact revenue,negative
store march finnish stationery gift retailer tiimari hel tiiv said yesterday cut total job unit tiimari retail ltd gallerix finland ltd result closure shop,negative
f secure reported first half seen growing number targeted malware attack individual company organization,neutral
november finnish office furniture maker martela oyj hel mara said today make redundant three people nine laid permanently company office staff factory worker,negative
tsla study chart pullback time http co zmdgfbi,negative
net sale totaled eur mn eur mn corresponding period,positive
new partnership agreement represents significant milestone party,positive
customer cooperative retailer osuuskauppa suur savo,neutral
